placement_id,job_id,submission_id,client_id,consultant_id,market,start_date,gp,placement_type,fell_off
P00076,J00364,S001020,C052,U001,IT & Data,2022-01-06,16030.14,perm,true
P00077,J00369,S001027,C006,U001,IT & Data,2021-11-03,16371.88,contract,false
P00078,J00370,S001035,C006,U001,IT & Data,2022-02-03,17238.81,perm,false
P00079,J00375,S001053,C043,U001,IT & Data,2021-04-27,16137.45,contract,false
P00080,J00382,S001070,C008,U001,IT & Data,2021-10-17,30796.05,perm,false
P00081,J00386,S001078,C043,U001,IT & Data,2021-08-18,20356.22,perm,false
P00082,J00390,S001085,C045,U001,IT & Data,2021-09-23,33854.14,perm,false
P00083,J00392,S001088,C049,U001,IT & Data,2021-04-28,19168.04,perm,false
P00084,J00394,S001100,C049,U001,IT & Data,2021-09-15,26295.88,perm,false
P00085,J00402,S001121,C006,U003,IT & Data,2022-02-21,24818.59,perm,false
P00086,J00404,S001126,C045,U003,IT & Data,2021-05-30,22508.32,perm,false
P00087,J00409,S001136,C059,U003,IT & Data,2021-10-30,24447.02,perm,false
P00088,J00411,S001144,C058,U003,IT & Data,2021-07-04,21668.85,perm,false
P00089,J00412,S001146,C043,U003,IT & Data,2021-06-03,18689.82,contract,true
P00090,J00413,S001149,C005,U003,IT & Data,2021-10-17,20474.41,perm,false
P00091,J00415,S001156,C008,U003,IT & Data,2021-06-14,22506.66,perm,false
P00092,J00416,S001159,C028,U003,IT & Data,2021-08-19,14396.71,perm,false
P00093,J00417,S001162,C052,U003,IT & Data,2021-08-02,22728.83,perm,false
P00094,J00418,S001164,C049,U003,IT & Data,2021-10-05,21991.41,perm,false
P00095,J00420,S001171,C049,U003,IT & Data,2021-08-04,20774.13,perm,false
P00096,J00421,S001175,C038,U003,IT & Data,2021-10-11,17816.54,perm,false
P00097,J00423,S001180,C001,U003,IT & Data,2021-04-20,15036.63,perm,false
P00098,J00424,S001183,C008,U003,IT & Data,2021-09-12,13120.49,contract,false
P00099,J00429,S001196,C038,U003,IT & Data,2021-04-11,20937.36,perm,false
P00100,J00431,S001204,C058,U003,IT & Data,2022-03-31,15229.66,perm,false
P00101,J00432,S001207,C008,U003,IT & Data,2021-11-12,13002.08,contract,true
P00102,J00433,S001208,C058,U003,IT & Data,2022-02-01,17853.21,perm,false
P00103,J00434,S001213,C055,U003,IT & Data,2022-01-17,22895.04,perm,false
P00104,J00435,S001216,C001,U003,IT & Data,2021-06-23,20917.74,perm,false
P00105,J00453,S001261,C052,U004,IT & Data,2021-08-22,12528.48,contract,false
P00106,J00456,S001269,C008,U004,IT & Data,2021-06-23,31092.94,perm,false
P00107,J00467,S001305,C054,U004,IT & Data,2022-02-17,13194.88,perm,false
P00108,J00469,S001312,C028,U004,IT & Data,2021-07-14,20785.02,perm,false
P00109,J00470,S001318,C002,U007,Engineering,2022-02-03,20322.81,perm,false
P00110,J00475,S001325,C026,U007,Engineering,2021-04-11,18760.25,contract,false
P00111,J00478,S001334,C019,U007,Engineering,2021-03-25,13996.92,perm,false
P00112,J00479,S001344,C002,U007,Engineering,2022-01-21,12684.41,perm,false
P00113,J00480,S001347,C009,U007,Engineering,2021-07-21,16464.52,contract,false
P00114,J00487,S001361,C023,U007,Engineering,2021-04-22,13703.43,contract,false
P00115,J00490,S001369,C014,U007,Engineering,2022-02-12,17497.21,contract,true
P00116,J00494,S001382,C019,U007,Engineering,2021-05-30,20876.28,perm,false
P00117,J00497,S001396,C060,U008,Engineering,2022-02-01,15920.94,contract,false
P00118,J00498,S001398,C023,U008,Engineering,2021-06-28,10592.39,contract,false
P00119,J00500,S001402,C009,U008,Engineering,2021-10-21,22178.25,perm,false
P00120,J00503,S001410,C063,U008,Engineering,2022-04-01,14537.57,perm,false
P00121,J00504,S001413,C046,U008,Engineering,2021-06-07,20559.20,perm,false
P00122,J00505,S001417,C060,U008,Engineering,2021-08-05,20477.05,perm,false
P00123,J00507,S001425,C026,U008,Engineering,2021-08-17,20395.65,perm,false
P00124,J00508,S001428,C019,U008,Engineering,2022-01-08,18707.67,perm,false
P00125,J00509,S001430,C002,U008,Engineering,2021-05-30,16917.15,perm,false
P00126,J00514,S001449,C011,U010,Life Sciences,2021-06-20,26183.53,perm,false
P00127,J00525,S001477,C053,U010,Life Sciences,2021-06-04,21686.88,perm,false
P00128,J00527,S001485,C064,U010,Life Sciences,2021-09-12,35437.89,perm,false
P00129,J00529,S001491,C070,U010,Life Sciences,2021-06-10,9392.53,perm,false
P00130,J00533,S001497,C021,U010,Life Sciences,2021-06-26,22895.93,perm,false
P00131,J00535,S001507,C048,U010,Life Sciences,2021-06-19,25916.81,perm,false
P00132,J00537,S001513,C039,U010,Life Sciences,2022-01-15,21155.38,perm,false
P00133,J00538,S001514,C012,U010,Life Sciences,2022-01-23,23817.69,perm,false
P00134,J00545,S001536,C058,U014,IT & Data,2021-04-16,18496.49,perm,false
P00135,J00546,S001538,C049,U014,IT & Data,2021-09-24,21747.39,perm,false
P00136,J00548,S001546,C005,U014,IT & Data,2021-09-29,15894.14,contract,false
P00137,J00552,S001555,C005,U014,IT & Data,2021-06-21,10920.47,perm,false
P00138,J00556,S001562,C032,U014,IT & Data,2022-03-02,22068.06,perm,false
P00139,J00561,S001577,C006,U014,IT & Data,2021-05-20,13469.06,contract,false
P00140,J00562,S001580,C001,U014,IT & Data,2021-10-19,18686.04,perm,false
P00141,J00564,S001585,C040,U014,IT & Data,2021-10-23,8092.38,contract,false
P00142,J00565,S001588,C065,U014,IT & Data,2022-02-21,22361.78,perm,false
P00143,J00568,S001595,C023,U015,Engineering,2021-09-14,12402.35,perm,false
P00144,J00569,S001597,C046,U015,Engineering,2022-01-27,9963.65,contract,false
P00145,J00570,S001601,C046,U015,Engineering,2021-11-18,20896.14,perm,false
P00146,J00571,S001606,C016,U015,Engineering,2021-09-19,18439.97,perm,false
P00147,J00573,S001611,C068,U015,Engineering,2022-01-01,16531.04,perm,false
P00148,J00579,S001629,C060,U015,Engineering,2021-10-14,11218.32,perm,false
P00149,J00580,S001635,C016,U015,Engineering,2021-11-22,17959.56,contract,false
P00150,J00585,S001648,C014,U015,Engineering,2021-09-15,21056.29,perm,false
P00151,J00603,S001700,C043,U016,IT & Data,2021-08-01,16802.82,perm,false
P00152,J00624,S001754,C055,U016,IT & Data,2021-12-14,27955.15,perm,false
P00153,J00648,S001820,C018,U017,Public Sector,2021-11-10,8469.15,perm,false
P00154,J00651,S001833,C024,U017,Public Sector,2022-02-21,12615.83,perm,false
P00155,J00655,S001844,C054,U018,IT & Data,2021-11-28,32328.70,perm,false
P00156,J00658,S001857,C045,U018,IT & Data,2021-06-21,19762.88,contract,false
P00157,J00666,S001879,C054,U018,IT & Data,2021-12-12,31605.59,perm,false
P00158,J00673,S001896,C005,U019,IT & Data,2022-03-11,24961.64,perm,true
P00159,J00685,S001928,C050,U021,Public Sector,2022-03-20,10030.97,contract,false
P00160,J00690,S001946,C036,U021,Public Sector,2021-09-19,9017.38,perm,false
P00161,J00700,S001974,C052,U001,IT & Data,2022-10-25,25744.64,perm,false
P00162,J00705,S001988,C028,U001,IT & Data,2023-02-17,25957.00,perm,true
P00163,J00715,S002008,C052,U001,IT & Data,2022-05-12,21256.50,perm,false
P00164,J00721,S002024,C054,U001,IT & Data,2022-08-26,28164.44,perm,false
P00165,J00724,S002036,C054,U001,IT & Data,2023-01-02,27049.07,perm,false
P00166,J00731,S002055,C052,U004,IT & Data,2022-12-01,25983.10,perm,false
P00167,J00747,S002101,C043,U004,IT & Data,2022-09-08,23201.04,contract,false
P00168,J00753,S002121,C058,U004,IT & Data,2022-08-18,14010.76,perm,false
P00169,J00755,S002124,C054,U004,IT & Data,2022-05-19,5945.37,perm,false
P00170,J00756,S002127,C008,U004,IT & Data,2023-02-13,15073.93,perm,true
P00171,J00758,S002132,C006,U004,IT & Data,2022-07-28,8591.86,perm,false
P00172,J00759,S002134,C005,U004,IT & Data,2022-07-13,18223.24,contract,false
P00173,J00766,S002159,C052,U004,IT & Data,2022-12-12,19158.86,perm,false
P00174,J00767,S002161,C065,U004,IT & Data,2022-07-08,8999.47,contract,false
P00175,J00771,S002178,C026,U007,Engineering,2022-07-23,14716.71,perm,false
P00176,J00780,S002198,C002,U007,Engineering,2022-06-12,17578.55,perm,false
P00177,J00790,S002231,C026,U007,Engineering,2022-10-03,21709.47,perm,true
P00178,J00795,S002252,C067,U007,Engineering,2023-04-01,8428.09,contract,false
P00179,J00806,S002283,C010,U007,Engineering,2023-04-08,19604.19,perm,false
P00180,J00809,S002295,C060,U007,Engineering,2022-12-25,23276.38,perm,false
P00181,J00814,S002306,C010,U008,Engineering,2022-05-29,8382.24,contract,false
P00182,J00818,S002320,C019,U008,Engineering,2022-12-17,11535.74,contract,false
P00183,J00819,S002324,C002,U008,Engineering,2022-04-15,12940.15,perm,false
P00184,J00822,S002335,C019,U008,Engineering,2022-08-19,27026.04,perm,false
P00185,J00829,S002352,C026,U008,Engineering,2022-10-27,13831.37,perm,false
P00186,J00833,S002367,C026,U008,Engineering,2023-04-09,10686.10,contract,false
P00187,J00835,S002375,C019,U008,Engineering,2023-03-21,12948.78,contract,false
P00188,J00843,S002395,C039,U010,Life Sciences,2023-04-07,31192.26,perm,false
P00189,J00853,S002422,C021,U010,Life Sciences,2023-01-15,25444.60,perm,false
P00190,J00860,S002438,C012,U010,Life Sciences,2022-07-09,24349.15,perm,false
P00191,J00861,S002440,C066,U010,Life Sciences,2022-06-25,25699.85,contract,false
P00192,J00862,S002444,C048,U010,Life Sciences,2023-02-21,20338.12,perm,false
P00193,J00864,S002450,C048,U010,Life Sciences,2022-12-23,27908.04,contract,false
P00194,J00868,S002457,C048,U010,Life Sciences,2023-04-08,26920.37,perm,true
P00195,J00870,S002461,C039,U010,Life Sciences,2022-12-28,19587.07,perm,false
P00196,J00872,S002467,C064,U010,Life Sciences,2022-04-22,34280.02,contract,false
P00197,J00877,S002482,C034,U010,Life Sciences,2022-10-31,27196.62,perm,false
P00198,J00879,S002489,C038,U013,IT & Data,2023-01-09,21050.23,contract,true
P00199,J00881,S002494,C049,U014,IT & Data,2023-04-06,20321.09,perm,true
P00200,J00882,S002499,C058,U014,IT & Data,2022-12-19,34827.10,perm,false
P00201,J00883,S002500,C055,U014,IT & Data,2023-03-21,22782.36,perm,false
P00202,J00884,S002506,C006,U014,IT & Data,2022-09-19,15064.35,perm,false
P00203,J00891,S002522,C005,U014,IT & Data,2022-10-17,9651.02,contract,false
P00204,J00894,S002530,C049,U014,IT & Data,2022-06-23,22499.90,perm,false
P00205,J00904,S002562,C049,U014,IT & Data,2022-11-03,22807.86,perm,false
P00206,J00906,S002567,C032,U014,IT & Data,2022-09-06,10277.35,contract,false
P00207,J00909,S002573,C065,U014,IT & Data,2022-05-15,26038.48,perm,false
P00208,J00919,S002595,C019,U015,Engineering,2022-09-20,7518.52,contract,false
P00209,J00922,S002605,C023,U015,Engineering,2023-01-25,12647.39,perm,false
P00210,J00923,S002607,C002,U015,Engineering,2023-04-06,24470.56,perm,false
P00211,J00925,S002614,C046,U015,Engineering,2023-01-28,11304.16,contract,false
P00212,J00926,S002615,C019,U015,Engineering,2022-04-22,14683.60,perm,false
P00213,J00930,S002627,C016,U015,Engineering,2022-08-11,15167.58,contract,false
P00214,J00933,S002636,C067,U015,Engineering,2023-03-01,15322.48,perm,false
P00215,J00935,S002645,C056,U015,Engineering,2022-06-11,11244.24,contract,false
P00216,J00940,S002656,C067,U015,Engineering,2022-08-31,14366.57,perm,false
P00217,J00948,S002677,C065,U016,IT & Data,2022-10-09,15856.00,contract,false
P00218,J00950,S002682,C054,U016,IT & Data,2022-09-02,17208.01,contract,false
P00219,J00952,S002693,C065,U016,IT & Data,2022-08-20,20405.23,perm,false
P00220,J00957,S002707,C040,U016,IT & Data,2022-09-14,17781.12,perm,false
P00221,J00960,S002716,C008,U016,IT & Data,2022-08-11,21994.47,perm,false
P00222,J00963,S002726,C043,U016,IT & Data,2023-02-28,14071.75,contract,false
P00223,J00965,S002731,C043,U018,IT & Data,2022-11-29,19018.82,perm,false
P00224,J00967,S002733,C052,U018,IT & Data,2023-03-08,9923.62,contract,false
P00225,J00971,S002744,C006,U018,IT & Data,2023-02-11,20263.62,contract,false
P00226,J00975,S002754,C065,U018,IT & Data,2022-11-28,24637.00,perm,false
P00227,J00979,S002769,C043,U018,IT & Data,2022-08-21,14863.86,perm,true
P00228,J00984,S002786,C043,U018,IT & Data,2022-10-12,21866.23,perm,false
P00229,J00989,S002799,C043,U018,IT & Data,2022-09-23,21064.31,perm,false
P00230,J00998,S002822,C052,U019,IT & Data,2022-10-25,15578.40,perm,false
P00231,J01018,S002869,C065,U019,IT & Data,2022-12-05,21222.95,perm,false
P00232,J01020,S002873,C045,U019,IT & Data,2023-02-24,16863.13,perm,false
P00233,J01021,S002875,C005,U019,IT & Data,2023-02-25,14116.59,contract,false
P00234,J01023,S002881,C038,U019,IT & Data,2023-02-14,23054.87,perm,false
P00235,J01050,S002963,C001,U001,IT & Data,2023-10-31,20233.87,perm,false
P00236,J01063,S002990,C006,U001,IT & Data,2023-07-02,23294.98,perm,false
P00237,J01064,S002995,C065,U001,IT & Data,2023-09-17,21466.66,perm,false
P00238,J01067,S003005,C054,U001,IT & Data,2023-11-10,11472.64,contract,false
P00239,J01068,S003009,C006,U001,IT & Data,2024-02-15,15615.14,contract,false
P00240,J01071,S003016,C006,U001,IT & Data,2023-04-29,19346.34,contract,false
P00241,J01076,S003030,C001,U004,IT & Data,2024-01-31,29795.94,perm,false
P00242,J01080,S003039,C028,U004,IT & Data,2024-01-19,15560.62,perm,false
P00243,J01081,S003044,C006,U004,IT & Data,2024-01-23,21590.20,perm,false
P00244,J01083,S003047,C058,U004,IT & Data,2023-08-04,19033.86,perm,false
P00245,J01090,S003066,C065,U004,IT & Data,2023-11-22,21489.16,perm,false
P00246,J01094,S003076,C008,U004,IT & Data,2023-07-17,14566.32,contract,false
P00247,J01096,S003083,C052,U004,IT & Data,2024-02-29,15972.33,contract,false
P00248,J01099,S003093,C028,U004,IT & Data,2023-07-07,23415.82,perm,false
P00249,J01101,S003107,C006,U004,IT & Data,2023-09-23,22428.92,perm,false
P00250,J01102,S003111,C052,U004,IT & Data,2023-11-14,20481.19,perm,false
P00251,J01109,S003135,C054,U004,IT & Data,2023-12-22,15889.54,perm,false
P00252,J01110,S003136,C008,U004,IT & Data,2023-07-06,36359.00,perm,false
P00253,J01112,S003144,C049,U004,IT & Data,2024-04-23,17320.78,contract,false
P00254,J01113,S003148,C052,U004,IT & Data,2024-01-27,16643.24,contract,false
P00255,J01114,S003152,C065,U004,IT & Data,2024-03-04,18004.30,contract,false
P00256,J01116,S003156,C067,U005,Engineering,2023-11-01,22756.28,contract,false
P00257,J01117,S003161,C067,U005,Engineering,2023-07-02,25535.57,perm,false
P00258,J01119,S003169,C014,U005,Engineering,2023-10-21,14946.94,perm,false
P00259,J01125,S003184,C067,U005,Engineering,2023-07-13,22574.14,perm,false
P00260,J01126,S003189,C060,U005,Engineering,2023-06-24,10727.47,perm,false
P00261,J01129,S003200,C019,U005,Engineering,2023-05-17,12045.54,contract,false
P00262,J01130,S003202,C046,U005,Engineering,2024-03-11,19320.34,perm,false
P00263,J01132,S003206,C002,U005,Engineering,2023-07-07,15235.83,contract,false
P00264,J01133,S003209,C023,U005,Engineering,2023-10-23,15095.65,contract,true
P00265,J01135,S003215,C067,U005,Engineering,2023-07-15,18247.67,perm,false
P00266,J01146,S003248,C010,U007,Engineering,2024-01-06,17661.68,perm,false
P00267,J01147,S003250,C014,U007,Engineering,2023-12-31,23181.47,perm,false
P00268,J01155,S003275,C019,U008,Engineering,2023-12-31,24135.23,perm,false
P00269,J01159,S003286,C060,U008,Engineering,2023-10-04,19656.46,perm,false
P00270,J01163,S003300,C046,U008,Engineering,2024-01-22,13593.64,perm,false
P00271,J01164,S003301,C060,U008,Engineering,2023-09-29,12814.38,contract,false
P00272,J01169,S003322,C060,U008,Engineering,2023-10-09,17651.77,perm,false
P00273,J01170,S003326,C002,U008,Engineering,2023-11-22,17808.23,perm,false
P00274,J01174,S003336,C009,U008,Engineering,2023-06-04,17774.88,perm,false
P00275,J01175,S003341,C016,U008,Engineering,2024-01-17,5549.48,contract,false
P00276,J01183,S003373,C023,U009,Engineering,2023-06-24,17676.42,perm,false
P00277,J01188,S003386,C067,U009,Engineering,2023-10-20,9666.46,contract,false
P00278,J01189,S003390,C041,U009,Engineering,2023-12-26,20623.27,perm,false
P00279,J01198,S003417,C026,U009,Engineering,2024-01-05,8787.40,contract,false
P00280,J01200,S003425,C002,U009,Engineering,2023-11-03,6852.94,contract,false
P00281,J01201,S003427,C022,U009,Engineering,2024-03-19,22585.89,perm,false
P00282,J01207,S003439,C056,U009,Engineering,2023-07-29,12282.93,perm,false
P00283,J01211,S003448,C016,U009,Engineering,2023-08-15,19334.38,perm,false
P00284,J01212,S003451,C023,U009,Engineering,2023-12-23,11911.33,contract,false
P00285,J01219,S003473,C038,U012,IT & Data,2023-05-22,18988.92,perm,false
P00286,J01238,S003513,C043,U013,IT & Data,2023-12-15,20365.90,perm,false
P00287,J01245,S003532,C045,U013,IT & Data,2023-07-29,25199.53,perm,false
P00288,J01252,S003554,C008,U013,IT & Data,2023-08-21,29822.23,perm,false
P00289,J01257,S003570,C054,U013,IT & Data,2023-08-08,11714.40,contract,false
P00290,J01269,S003598,C054,U014,IT & Data,2023-12-12,26702.52,perm,false
P00291,J01270,S003599,C052,U014,IT & Data,2023-05-14,15919.43,perm,false
P00292,J01277,S003623,C054,U014,IT & Data,2023-08-30,20488.69,perm,false
P00293,J01280,S003628,C065,U014,IT & Data,2024-03-23,18133.69,perm,false
P00294,J01286,S003650,C010,U015,Engineering,2024-02-10,20213.66,perm,false
P00295,J01290,S003662,C009,U015,Engineering,2023-07-27,11899.03,contract,false
P00296,J01292,S003667,C022,U015,Engineering,2024-02-06,14172.10,perm,false
P00297,J01309,S003717,C016,U015,Engineering,2024-03-22,22878.58,perm,false
P00298,J01313,S003734,C022,U015,Engineering,2023-10-12,20373.98,perm,false
P00299,J01315,S003743,C055,U016,IT & Data,2024-01-16,21231.24,perm,false
P00300,J01317,S003746,C038,U016,IT & Data,2023-09-08,30889.48,perm,false
P00301,J01320,S003752,C049,U016,IT & Data,2024-02-29,17866.85,perm,false
P00302,J01337,S003806,C058,U016,IT & Data,2024-03-22,33941.26,perm,false
P00303,J01343,S003825,C005,U016,IT & Data,2024-03-22,24896.88,perm,true
P00304,J01346,S003830,C065,U016,IT & Data,2023-12-11,11919.75,contract,false
P00305,J01349,S003840,C054,U016,IT & Data,2023-07-02,29599.42,perm,false
P00306,J01365,S003888,C049,U018,IT & Data,2023-07-13,23429.82,perm,false
P00307,J01370,S003904,C032,U018,IT & Data,2023-05-29,25905.57,perm,false
P00308,J01371,S003907,C001,U018,IT & Data,2023-05-24,29925.39,perm,true
P00309,J01375,S003918,C052,U018,IT & Data,2023-08-28,22982.10,perm,false
P00310,J01376,S003925,C052,U018,IT & Data,2024-03-09,25599.33,perm,false
P00311,J01377,S003927,C065,U018,IT & Data,2023-07-24,16858.98,perm,false
P00312,J01386,S003957,C049,U018,IT & Data,2024-01-24,27562.11,perm,false
P00313,J01392,S003971,C054,U018,IT & Data,2023-08-27,28041.75,contract,false
P00314,J01393,S003976,C065,U018,IT & Data,2024-01-15,15012.02,contract,false
P00315,J01395,S003981,C043,U018,IT & Data,2024-02-08,16755.93,perm,false
P00316,J01397,S003987,C013,U019,IT & Data,2023-06-10,24330.73,perm,false
P00317,J01398,S003991,C054,U019,IT & Data,2024-04-18,18917.75,perm,false
P00318,J01399,S003992,C058,U019,IT & Data,2024-02-23,19020.93,perm,false
P00319,J01401,S003996,C008,U019,IT & Data,2023-09-02,18682.92,perm,false
P00320,J01414,S004035,C055,U019,IT & Data,2023-11-05,23079.90,perm,true
P00321,J01417,S004044,C006,U019,IT & Data,2024-01-14,25789.62,perm,false
P00322,J01425,S004067,C045,U019,IT & Data,2023-11-07,26154.75,perm,true
P00323,J01429,S004076,C006,U019,IT & Data,2023-04-23,25722.99,perm,false
P00324,J01438,S004096,C032,U019,IT & Data,2023-06-28,26205.69,contract,false
P00325,J01445,S004113,C018,U021,Public Sector,2024-01-14,9222.13,perm,false
P00326,J01456,S004146,C059,U001,IT & Data,2024-12-21,30279.23,perm,false
P00327,J01470,S004188,C065,U001,IT & Data,2025-04-04,20377.45,perm,false
P00328,J01474,S004199,C058,U001,IT & Data,2024-07-03,20213.72,perm,false
P00329,J01478,S004210,C052,U001,IT & Data,2025-01-06,26338.54,perm,false
P00330,J01483,S004226,C049,U001,IT & Data,2024-09-07,28014.15,perm,true
P00331,J01488,S004238,C043,U001,IT & Data,2025-02-15,18025.71,contract,false
P00333,J01493,S004252,C006,U004,IT & Data,2025-03-23,11174.78,contract,false
P00334,J01495,S004256,C038,U004,IT & Data,2024-12-03,10079.57,perm,false
P00335,J01498,S004264,C006,U004,IT & Data,2025-01-19,20714.98,perm,false
P00336,J01501,S004277,C045,U004,IT & Data,2025-02-23,20329.47,perm,false
P00337,J01503,S004282,C065,U004,IT & Data,2024-07-12,11803.91,contract,false
P00338,J01505,S004289,C013,U004,IT & Data,2024-08-26,24673.14,perm,false
P00339,J01508,S004299,C001,U004,IT & Data,2024-05-30,27319.90,perm,false
P00340,J01515,S004328,C054,U004,IT & Data,2025-03-21,18794.65,perm,false
P00341,J01518,S004338,C040,U004,IT & Data,2025-03-17,17669.67,contract,false
